Sex,Ideology,Birth Year,Count
FEMALE,Liberal,1935,1
FEMALE,Liberal,1936,0
FEMALE,Liberal,1937,4
FEMALE,Liberal,1938,2
FEMALE,Liberal,1939,1
FEMALE,Liberal,1940,5
FEMALE,Liberal,1941,5
FEMALE,Liberal,1942,2
FEMALE,Liberal,1943,3
FEMALE,Liberal,1944,1
FEMALE,Liberal,1945,6
FEMALE,Liberal,1946,4
FEMALE,Liberal,1947,4
FEMALE,Liberal,1948,7
FEMALE,Liberal,1949,3
FEMALE,Liberal,1950,11
FEMALE,Liberal,1951,3
FEMALE,Liberal,1952,9
FEMALE,Liberal,1953,5
FEMALE,Liberal,1954,15
FEMALE,Liberal,1955,6
FEMALE,Liberal,1956,10
FEMALE,Liberal,1957,8
FEMALE,Liberal,1958,19
FEMALE,Liberal,1959,10
FEMALE,Liberal,1960,19
FEMALE,Liberal,1961,9
FEMALE,Liberal,1962,4
FEMALE,Liberal,1963,14
FEMALE,Liberal,1964,12
FEMALE,Liberal,1965,8
FEMALE,Liberal,1966,13
FEMALE,Liberal,1967,16
FEMALE,Liberal,1968,11
FEMALE,Liberal,1969,11
FEMALE,Liberal,1970,5
FEMALE,Liberal,1971,6
FEMALE,Liberal,1972,7
FEMALE,Liberal,1973,10
FEMALE,Liberal,1974,12
FEMALE,Liberal,1975,19
FEMALE,Liberal,1976,13
FEMALE,Liberal,1977,5
FEMALE,Liberal,1978,11
FEMALE,Liberal,1979,13
FEMALE,Liberal,1980,16
FEMALE,Liberal,1981,9
FEMALE,Liberal,1982,13
FEMALE,Liberal,1983,17
FEMALE,Liberal,1984,13
FEMALE,Liberal,1985,15
FEMALE,Liberal,1986,10
FEMALE,Liberal,1987,6
FEMALE,Liberal,1988,12
FEMALE,Liberal,1989,10
FEMALE,Liberal,1990,18
FEMALE,Liberal,1991,28
FEMALE,Liberal,1992,13
FEMALE,Liberal,1993,22
FEMALE,Liberal,1994,8
FEMALE,Liberal,1995,11
FEMALE,Liberal,1996,12
FEMALE,Liberal,1997,15
FEMALE,Liberal,1998,10
FEMALE,Liberal,1999,21
FEMALE,Liberal,2000,21
FEMALE,Liberal,2001,25
FEMALE,Liberal,2002,31
FEMALE,Liberal,2003,13
FEMALE,Liberal,2004,2
FEMALE,Liberal,2005,8
FEMALE,Liberal,2006,4
FEMALE,Slightly liberal,1932,0
FEMALE,Slightly liberal,1933,0
FEMALE,Slightly liberal,1934,1
FEMALE,Slightly liberal,1935,0
FEMALE,Slightly liberal,1936,1
FEMALE,Slightly liberal,1937,1
FEMALE,Slightly liberal,1938,0
FEMALE,Slightly liberal,1939,1
FEMALE,Slightly liberal,1940,0
FEMALE,Slightly liberal,1941,3
FEMALE,Slightly liberal,1942,3
FEMALE,Slightly liberal,1943,2
FEMALE,Slightly liberal,1944,5
FEMALE,Slightly liberal,1945,4
FEMALE,Slightly liberal,1946,2
FEMALE,Slightly liberal,1947,6
FEMALE,Slightly liberal,1948,4
FEMALE,Slightly liberal,1949,4
FEMALE,Slightly liberal,1950,11
FEMALE,Slightly liberal,1951,7
FEMALE,Slightly liberal,1952,12
FEMALE,Slightly liberal,1953,3
FEMALE,Slightly liberal,1954,13
FEMALE,Slightly liberal,1955,5
FEMALE,Slightly liberal,1956,11
FEMALE,Slightly liberal,1957,5
FEMALE,Slightly liberal,1958,12
FEMALE,Slightly liberal,1959,11
FEMALE,Slightly liberal,1960,5
FEMALE,Slightly liberal,1961,6
FEMALE,Slightly liberal,1962,14
FEMALE,Slightly liberal,1963,6
FEMALE,Slightly liberal,1964,14
FEMALE,Slightly liberal,1965,9
FEMALE,Slightly liberal,1966,5
FEMALE,Slightly liberal,1967,8
FEMALE,Slightly liberal,1968,9
FEMALE,Slightly liberal,1969,7
FEMALE,Slightly liberal,1970,10
FEMALE,Slightly liberal,1971,3
FEMALE,Slightly liberal,1972,6
FEMALE,Slightly liberal,1973,5
FEMALE,Slightly liberal,1974,6
FEMALE,Slightly liberal,1975,8
FEMALE,Slightly liberal,1976,3
FEMALE,Slightly liberal,1977,7
FEMALE,Slightly liberal,1978,15
